date,temp_max,temp_min,snowfall_sum,precip_sum,windspeed_max,month,avalanche_closure,landslide_closure,aval_label_source,land_label_source
2019-02-03,-2.9975,-9.7475,0.0,0.0,11.269782,2,0,0,calendar,offseason
2019-02-04,-2.0974998,-12.3975,0.49,0.70000005,12.371645,2,0,0,calendar,offseason
2019-02-05,-3.7475,-14.1475,7.84,11.200002,13.661038,2,1,0,calendar,offseason
2019-02-06,-5.6475,-12.4475,9.38,13.299999,14.84318,2,1,0,calendar,offseason
2019-02-07,-4.7475,-10.8475,2.73,3.8999999,11.792404,2,1,0,documented,offseason
2019-02-08,-9.2475,-12.6475,0.0,0.0,5.1165614,2,1,0,documented,offseason
2019-02-09,-6.8975,-9.6475,0.14,0.2,5.506941,2,1,0,documented,offseason
2019-02-10,-5.2975,-7.7475004,0.63,0.90000004,5.4477882,2,1,0,calendar,offseason
2019-02-11,-3.3474998,-8.1475,0.0,0.0,6.638072,2,1,0,calendar,offseason
2019-02-12,-3.2975001,-6.4975004,0.84,1.2,9.511088,2,0,0,calendar,offseason
2019-02-13,-2.0475001,-7.6975,3.3600001,4.799999,10.703569,2,1,0,calendar,offseason
2019-02-14,-2.6975002,-9.1475,3.2900002,4.7,10.00256,2,1,0,calendar,offseason
2019-02-15,-5.8475,-10.0975,0.21000001,0.3,7.628263,2,1,0,calendar,offseason
2019-02-16,-5.0475,-11.5975,0.0,0.0,8.049845,2,1,0,calendar,offseason
2019-02-17,-5.0975,-11.4975,0.90999997,1.3000002,11.592895,2,1,0,calendar,offseason
2019-02-18,-4.8475,-10.7475,1.1900002,1.7000002,9.387651,2,1,0,calendar,offseason
2019-02-19,-5.5475,-12.4475,0.14,0.2,13.32,2,0,0,calendar,offseason
2019-02-20,0.9525001,-11.2475,10.78,15.400002,14.658676,2,0,1,calendar,offseason
2019-02-21,-5.9975,-12.5475,0.56,0.8000001,12.24,2,0,0,calendar,offseason
2019-02-22,-5.2975,-9.4475,0.0,0.0,8.654986,2,0,0,calendar,offseason
2019-02-23,-6.3475,-12.4975,0.7,1.0000001,10.464797,2,1,0,calendar,offseason
2019-02-24,-7.3475,-12.8475,0.35,0.5,9.511088,2,0,0,calendar,offseason
2019-02-25,-7.9475,-14.3975,0.0,0.0,10.703569,2,1,0,calendar,offseason
2019-02-26,-7.1975,-16.3475,0.28,0.4,10.495713,2,1,0,calendar,offseason
2019-02-27,-8.8975,-11.8475,0.0,0.0,6.0347,2,1,0,calendar,offseason
2019-02-28,-4.7475,-11.0975,0.0,0.0,8.350138,2,1,0,calendar,offseason
2019-03-01,-1.1474999,-7.6975,0.56,0.8,11.620809,3,1,0,calendar,offseason
2019-03-02,-1.9974998,-7.3975,1.47,2.1,10.30883,3,1,0,calendar,offseason
2019-03-03,-3.5475001,-7.2974997,3.15,4.5,6.830519,3,0,0,calendar,offseason
2019-03-04,-4.2975,-8.5475,0.48999998,0.70000005,6.379216,3,1,0,calendar,offseason
2019-03-05,-4.6475,-8.9975,0.0,0.0,8.089993,3,1,0,calendar,offseason
2019-03-06,-5.1475,-8.8475,0.0,0.0,8.049845,3,1,0,calendar,offseason
2019-03-07,-4.1475,-8.3975,0.0,0.0,7.8625183,3,1,0,calendar,offseason
2019-03-08,-2.8975,-8.0975,0.0,0.0,7.7043357,3,0,0,calendar,offseason
2019-03-09,-4.2475,-8.9975,0.0,0.0,10.703569,3,1,0,calendar,offseason
2019-03-10,-0.7975,-11.7975,1.4,2.0,12.10157,3,0,0,calendar,offseason
2019-03-11,-3.4975,-11.8975,0.7,1.1,10.966713,3,0,0,calendar,offseason
2019-03-12,-0.047499895,-10.5975,0.70000005,1.0,13.089354,3,1,0,calendar,offseason
2019-03-13,-2.9975,-9.6475,3.01,4.2999997,10.787993,3,1,0,calendar,offseason
2019-03-14,-4.2475,-6.8475,0.63,0.90000004,7.4128532,3,0,0,calendar,offseason
2019-03-15,-3.3474998,-7.8475,0.0,0.0,6.28713,3,1,0,calendar,offseason
2019-03-16,-2.0974998,-5.4475,0.0,0.0,5.634891,3,1,0,calendar,offseason
2019-03-17,-1.8974999,-5.9975,0.07,0.1,4.802999,3,0,0,calendar,offseason
2019-03-18,-0.8974999,-4.8475,0.0,0.0,7.0911775,3,1,0,calendar,offseason
2019-03-19,-1.3475,-5.6475,0.07,0.1,9.585739,3,1,0,calendar,offseason
2019-03-20,-1.3475,-6.4475,0.14,0.2,7.968939,3,1,0,calendar,offseason
2019-03-21,-2.8474998,-5.5975,0.0,0.0,5.8048253,3,0,0,calendar,offseason
2019-03-22,0.0025000572,-6.2475004,0.0,0.0,9.028754,3,1,0,calendar,offseason
2019-03-23,2.0025,-3.8975,0.28,0.4,7.928178,3,1,0,calendar,offseason
2019-03-24,0.75250006,-3.6475,0.0,0.0,7.289444,3,1,0,calendar,offseason
2019-03-25,-0.19749987,-4.9475,0.0,0.0,4.829907,3,1,0,calendar,offseason
2019-03-26,1.3525001,-3.5475001,0.0,0.0,4.3349743,3,1,0,calendar,offseason
2019-03-27,4.8025002,0.4525001,0.0,0.0,5.815978,3,1,0,calendar,offseason
2019-03-28,4.2025,0.0025000572,0.0,0.0,9.021574,3,1,0,calendar,offseason
2019-03-29,4.3025002,-2.2975001,0.0,0.0,10.163227,3,0,0,calendar,offseason
2019-03-30,2.0525,-1.2474998,0.0,0.0,7.5942073,3,1,0,calendar,offseason
2019-03-31,1.6025001,-2.3474998,0.07,0.1,5.00128,3,1,0,calendar,offseason
2019-04-01,2.1525002,-2.8975,0.0,0.0,5.3517847,4,0,0,weather,offseason
2019-04-02,4.0025,-1.3974999,0.0,0.0,5.6002855,4,0,0,weather,offseason
2019-04-03,5.1525,0.9025001,0.0,0.0,5.991594,4,0,0,weather,offseason
2019-04-04,5.8525,1.0525,0.0,0.0,6.1305785,4,0,0,weather,offseason
2019-04-05,5.5025,1.2525,0.56,0.8000001,5.0911684,4,0,0,weather,offseason
2019-04-06,4.3525,-0.7474998,1.61,2.3,6.9153743,4,0,0,weather,offseason
2019-04-07,5.4025,0.5525001,0.0,0.0,7.6367526,4,0,0,weather,offseason
2019-04-08,5.7525,0.2025001,0.0,0.0,6.696387,4,0,0,weather,offseason
2019-04-09,6.2025,2.7525,0.0,0.0,8.4963045,4,0,0,weather,offseason
2019-04-10,6.4525,2.0025,0.0,0.0,7.289445,4,0,0,weather,offseason
2019-04-11,5.8525,3.1525002,0.0,0.0,7.7043357,4,0,0,weather,offseason
2019-04-12,7.2025,2.1025,0.0,0.0,8.4963045,4,0,0,weather,offseason
2019-04-13,6.7525,1.1025001,0.0,0.0,6.696387,4,0,0,weather,offseason
2019-04-14,7.1025,2.1025,0.0,0.0,6.989936,4,0,0,weather,offseason
2019-04-15,10.5025,1.5525,0.0,0.0,10.233123,4,0,0,weather,offseason
2019-04-16,9.7025,1.1525002,1.4000001,2.0,5.634891,4,0,0,weather,offseason
2019-04-17,4.6025,0.8525001,0.42,0.6,4.2136917,4,0,0,weather,offseason
2019-04-18,8.002501,-0.5475,0.0,0.0,7.7879906,4,0,0,weather,offseason
2019-04-19,10.3025,0.6025001,0.0,0.0,8.587338,4,0,0,weather,offseason
2019-04-20,10.0525,2.2525,0.07,0.2,6.1305785,4,0,0,weather,offseason
2019-04-21,10.2025,3.0525002,0.21000001,0.4,6.12,4,0,0,weather,offseason
2019-04-22,11.4025,4.0025,0.0,0.0,5.8603754,4,0,0,weather,offseason
2019-04-23,9.6525,3.6525002,1.12,1.7,8.311245,4,0,0,weather,offseason
2019-04-24,7.9525,1.2525,3.9900005,5.7000003,7.7879906,4,0,0,weather,offseason
2019-04-25,8.8025,-0.09749997,1.5400001,2.3,9.007196,4,0,0,weather,offseason
2019-04-26,11.9525,1.9525001,0.0,0.0,9.085988,4,0,0,weather,offseason
2019-04-27,11.3525,0.75250006,0.0,0.0,10.883676,4,0,0,weather,offseason
2019-04-28,11.9525,3.1025,0.0,0.0,11.119281,4,0,0,weather,offseason
2019-04-29,9.6525,0.8025001,3.8500001,5.4999995,10.44,4,0,0,weather,offseason
2019-04-30,7.7525,0.15250003,0.77,1.1000001,8.161764,4,0,0,weather,offseason
2019-05-01,7.8525,-0.34749997,1.8900006,2.6999993,8.534353,5,0,0,weather,offseason
2019-05-02,7.4525,-0.9974998,1.7500004,2.5000002,10.703569,5,0,1,weather,offseason
2019-05-03,6.6525,-1.6474999,3.71,5.3,7.9036193,5,0,0,weather,offseason
2019-05-04,3.6525002,-1.1974999,1.12,1.6000003,6.9899354,5,0,0,weather,offseason
2019-05-05,7.1525,-2.4975,0.0,0.0,8.0899935,5,0,0,weather,offseason
2019-05-06,9.1025,-0.24749982,0.0,0.0,5.8603754,5,0,0,weather,offseason
2019-05-07,8.4025,-0.9474999,0.98,1.5,6.989936,5,0,0,weather,offseason
2019-05-08,10.6525,-0.2975,0.0,0.0,10.383987,5,0,0,weather,offseason
2019-05-09,10.9525,0.0025000572,0.07,0.1,8.707237,5,0,0,weather,offseason
2019-05-10,8.6525,2.1025,1.4,2.2,4.896529,5,0,0,weather,offseason
2019-05-11,8.252501,2.0025,1.1899999,1.9000001,4.32,5,0,0,weather,offseason
2019-05-12,10.7525,2.0025,0.14,0.4,6.489992,5,0,0,weather,offseason
2019-05-13,8.9525,2.3025,3.9899998,7.5999994,4.3349743,5,0,0,weather,offseason
2019-05-14,9.1525,1.9025,0.77,1.3000001,4.5820518,5,0,0,weather,offseason
2019-05-15,9.4525,3.8525,0.21000001,0.70000005,4.5536795,5,0,0,weather,offseason
2019-05-16,10.6525,3.8525,0.56,1.9000001,6.28713,5,0,0,weather,offseason
2019-05-17,8.4025,2.7525,5.3900003,8.599999,4.8965297,5,0,0,weather,offseason
2019-05-18,11.1525,3.1525002,0.0,0.0,5.00128,5,0,0,weather,offseason
2019-05-19,10.3525,4.6525,0.42000002,0.8,7.289444,5,1,0,weather,offseason
2019-05-20,11.0025,2.4025002,0.77,2.0,8.854829,5,1,0,weather,offseason
2019-05-21,12.6525,3.4525,0.0,0.0,6.439876,5,0,0,weather,offseason
2019-05-22,12.5025,4.2025,1.8199999,3.5000002,6.696387,5,0,0,weather,offseason
2019-05-23,10.9025,3.4525,4.41,7.5,6.9153743,5,0,0,weather,offseason
2019-05-24,9.3025,0.9525001,1.82,3.1999998,6.1305785,5,0,0,weather,offseason
2019-05-25,10.0025,3.1025,1.6100001,2.3999999,10.464798,5,0,0,weather,offseason
2019-05-26,8.8025,1.6525,0.21000001,0.3,5.4477882,5,0,0,weather,offseason
2019-05-27,10.0525,1.2025001,1.6800001,2.3999999,5.991594,5,0,0,weather,offseason
2019-05-28,12.1525,1.8025001,0.0,0.0,8.78872,5,0,0,weather,offseason
2019-05-29,13.1525,1.3525001,0.0,0.0,10.495713,5,0,0,weather,offseason
2019-05-30,15.1525,1.7025001,0.0,0.0,8.587338,5,0,0,weather,offseason
2019-05-31,14.2525,3.5525002,0.0,0.2,7.9036193,5,0,0,weather,offseason
2019-06-01,14.9525,4.8525,0.0,0.4,6.379216,6,0,0,offseason,weather
2019-06-02,12.6525,5.7025,0.35,5.7,5.815978,6,0,0,offseason,weather
2019-06-03,9.8525,3.4525,3.1500003,7.4,7.4128532,6,0,0,offseason,weather
2019-06-04,11.6525,4.8025002,0.21000001,0.4,7.7879906,6,0,1,offseason,weather
2019-06-05,11.4025,3.8525,0.07,0.6,7.628263,6,0,0,offseason,weather
2019-06-06,10.6025,4.3025002,0.42000002,1.9000001,4.39436,6,0,0,offseason,weather
2019-06-07,11.7025,3.7525,0.14,1.8000001,6.151683,6,0,0,offseason,weather
2019-06-08,12.7025,3.2025,0.0,1.0,7.342588,6,0,1,offseason,weather
2019-06-09,14.1525,4.8025002,0.0,0.4,4.6800003,6,0,0,offseason,weather
2019-06-10,13.5025,5.5525002,1.26,6.6000004,8.404285,6,0,1,offseason,weather
2019-06-11,8.2025,4.1025,2.8000002,5.3999996,11.212135,6,0,1,offseason,weather
2019-06-12,11.6025,3.2525,0.28,0.3,7.2805495,6,0,1,offseason,weather
2019-06-13,13.7025,3.0025,0.0,0.0,8.373386,6,0,1,offseason,weather
2019-06-14,12.6525,6.0525,0.14,3.0,5.937272,6,0,0,offseason,weather
2019-06-15,12.3525,3.6525002,0.90999997,2.6999996,8.311245,6,0,0,offseason,weather
2019-06-16,11.5025,2.2525,0.21000001,0.3,6.830519,6,0,0,offseason,weather
2019-06-17,11.0025,3.2025,1.47,4.1,6.519877,6,0,0,offseason,weather
2019-06-18,12.5025,3.3525,0.0,1.1,6.489992,6,0,0,offseason,weather
2019-06-19,14.1525,3.1525002,0.0,0.3,6.6087217,6,0,0,offseason,weather
2019-06-20,11.6525,5.4525,0.28,1.1,5.6920996,6,0,0,offseason,weather
2019-06-21,13.7025,4.9525,0.0,0.4,6.830519,6,0,0,offseason,weather
2019-06-22,13.9525,6.1025,0.7,2.1,5.6920996,6,0,0,offseason,weather
2019-06-23,11.5525,8.0525,0.0,9.7,7.92,6,0,1,offseason,weather
2019-06-24,12.1025,6.2025,0.0,5.1999993,5.3517847,6,0,1,offseason,weather
2019-06-25,11.8525,5.5525002,1.26,5.6999993,5.315336,6,0,1,offseason,weather
2019-06-26,13.7025,5.1525,0.0,2.1,5.692099,6,0,0,offseason,weather
2019-06-27,14.3025,5.1525,0.56,3.7,8.089993,6,0,0,offseason,weather
2019-06-28,17.1525,5.4525,0.0,0.0,9.83268,6,0,1,offseason,weather
2019-06-29,16.0525,6.1525,0.0,0.0,7.968939,6,0,0,offseason,weather
2019-06-30,16.202501,7.9525,0.0,0.1,7.289444,6,0,0,offseason,weather
2019-07-01,18.552502,6.4525,0.0,0.1,7.8954163,7,0,0,offseason,weather
2019-07-02,20.9025,9.4525,0.0,0.0,9.339208,7,0,0,offseason,weather
2019-07-03,20.9025,7.6525,0.0,0.0,8.854829,7,0,0,offseason,weather
2019-07-04,17.8525,11.2025,0.0,1.1,6.1305785,7,0,0,offseason,weather
2019-07-05,21.302502,10.5525,0.0,0.0,7.42159,7,0,0,offseason,weather
2019-07-06,22.3525,11.1525,0.0,0.0,6.6185193,7,0,0,offseason,weather
2019-07-07,23.8525,13.5525,0.0,0.0,8.217153,7,0,0,offseason,weather
2019-07-08,24.8525,11.7525,0.0,0.0,8.534353,7,0,0,offseason,weather
2019-07-09,23.952501,10.9525,0.0,0.0,12.015589,7,0,0,offseason,weather
2019-07-10,22.9025,13.8525,0.0,0.0,8.12197,7,0,0,offseason,weather
2019-07-11,23.1025,12.8525,0.0,0.0,8.587338,7,0,0,offseason,weather
2019-07-12,21.952501,12.1025,0.0,0.0,8.435069,7,0,0,offseason,weather
2019-07-13,21.802502,10.3025,0.0,0.0,6.6185193,7,0,0,offseason,weather
2019-07-14,21.2525,9.0525,0.0,0.0,9.605998,7,0,0,offseason,weather
2019-07-15,20.452501,11.8525,0.0,0.0,9.6932955,7,0,0,offseason,weather
2019-07-16,21.952501,11.1025,0.0,0.0,10.853866,7,0,0,offseason,weather
2019-07-17,22.9025,8.002501,0.0,0.0,8.891343,7,0,0,offseason,weather
2019-07-18,17.9025,9.6025,0.0,6.7999997,8.373386,7,0,0,offseason,weather
2019-07-19,20.9025,9.8025,0.0,0.0,8.435069,7,0,0,offseason,weather
2019-07-20,23.202501,9.5525,0.0,0.0,11.885453,7,0,0,offseason,weather
2019-07-21,24.3525,10.5525,0.0,0.0,16.418526,7,0,0,offseason,weather
2019-07-22,25.4025,10.4525,0.0,0.0,9.793059,7,0,0,offseason,weather
2019-07-23,27.4025,10.4025,0.0,0.0,9.885262,7,0,0,offseason,weather
2019-07-24,27.4025,12.1025,0.0,0.0,13.849476,7,0,0,offseason,weather
2019-07-25,20.552502,14.5025,0.0,0.70000005,9.931042,7,0,0,offseason,weather
2019-07-26,21.3525,11.6025,0.0,6.9999995,6.9153743,7,0,0,offseason,weather
2019-07-27,20.5025,11.8025,0.0,3.4999995,5.634891,7,0,1,offseason,weather
2019-07-28,22.6525,12.6525,0.0,0.90000004,7.208994,7,0,1,offseason,weather
2019-07-29,25.1025,11.2025,0.0,0.0,8.161764,7,0,0,offseason,weather
2019-07-30,24.202501,12.8525,0.0,0.0,9.0645685,7,0,0,offseason,weather
2019-07-31,22.0025,11.8525,0.0,3.0,8.905908,7,0,0,offseason,weather
2019-08-01,21.7525,12.6525,0.0,0.4,6.489992,8,0,0,offseason,weather
2019-08-02,20.1525,10.6025,0.0,3.6,5.8603754,8,0,0,offseason,weather
2019-08-03,21.3525,11.1025,0.0,0.2,6.2145634,8,0,0,offseason,weather
2019-08-04,24.3525,11.6525,0.0,0.0,7.69592,8,0,1,offseason,weather
2019-08-05,24.9025,13.3025,0.0,0.0,7.289444,8,0,0,offseason,weather
2019-08-06,25.0025,14.4525,0.0,0.0,7.342588,8,0,0,offseason,weather
2019-08-07,25.0025,13.4525,0.0,0.0,7.69592,8,0,0,offseason,weather
2019-08-08,25.552502,12.7025,0.0,0.8,10.1376915,8,0,0,offseason,weather
2019-08-09,19.802502,11.4525,0.0,4.8999996,4.896529,8,0,0,offseason,weather
2019-08-10,21.6025,12.2025,0.0,1.2,7.342588,8,0,0,offseason,weather
2019-08-11,22.802502,12.6025,0.0,0.0,5.4477882,8,0,1,offseason,weather
2019-08-12,22.7525,14.8525,0.0,0.1,6.792466,8,0,0,offseason,weather
2019-08-13,17.952501,12.9525,0.0,3.3,3.5455887,8,0,1,offseason,documented
2019-08-14,19.5025,11.2525,0.0,5.8,6.6185193,8,0,1,offseason,documented
2019-08-15,20.2525,12.4025,0.0,0.0,5.95906,8,0,1,offseason,documented
2019-08-16,14.0025,9.8525,0.0,10.4,4.379589,8,0,1,offseason,weather
2019-08-17,13.4525,5.5025,0.42000002,13.700001,7.9932976,8,0,1,offseason,weather
2019-08-18,13.3025,5.6025,0.0,0.5,7.754637,8,0,0,offseason,weather
2019-08-19,15.1025,4.9525,0.0,0.4,9.83268,8,0,1,offseason,weather
2019-08-20,15.9025,5.2525,0.0,0.0,9.83268,8,0,0,offseason,weather
2019-08-21,18.1025,5.9525,0.0,0.0,8.39657,8,0,0,offseason,weather
2019-08-22,18.9025,7.4525,0.0,0.0,7.729527,8,0,0,offseason,weather
2019-08-23,19.702501,12.1525,0.0,0.0,6.9153743,8,0,0,offseason,weather
2019-08-24,21.1525,13.8025,0.0,0.0,5.634891,8,0,0,offseason,weather
2019-08-25,21.9025,13.6025,0.0,0.0,6.5693827,8,0,0,offseason,weather
2019-08-26,21.9025,13.4525,0.0,0.0,7.24486,8,0,0,offseason,weather
2019-08-27,20.1525,12.3025,0.0,0.1,6.989936,8,0,0,offseason,weather
2019-08-28,21.702501,10.9525,0.0,0.6,4.8965297,8,0,1,offseason,weather
2019-08-29,22.9025,14.2525,0.0,0.0,6.489992,8,0,0,offseason,weather
2019-08-30,22.2525,14.6025,0.0,0.0,5.0528407,8,0,1,offseason,weather
2019-08-31,22.052502,12.7525,0.0,0.0,6.1305785,8,0,0,offseason,weather
2019-09-01,21.702501,14.9525,0.0,0.0,6.989936,9,0,0,offseason,weather
2019-09-02,23.7525,14.3025,0.0,0.0,7.386582,9,0,0,offseason,weather
2019-09-03,25.302502,14.7525,0.0,0.0,9.885262,9,0,0,offseason,weather
2019-09-04,24.452501,15.0025,0.0,0.0,11.753877,9,0,0,offseason,weather
2019-09-05,25.6525,13.6525,0.0,0.0,9.931042,9,0,0,offseason,weather
2019-09-06,23.7525,13.1525,0.0,0.0,11.609651,9,0,0,offseason,weather
2019-09-07,22.052502,11.6525,0.0,0.0,10.948973,9,0,0,offseason,weather
2019-09-08,22.6525,11.8025,0.0,0.0,5.4833565,9,0,0,offseason,weather
2019-09-09,23.202501,12.7525,0.0,0.0,6.1094027,9,0,0,offseason,weather
2019-09-10,21.202501,11.3025,0.0,0.0,7.653705,9,0,0,offseason,weather
2019-09-11,22.802502,11.7525,0.0,0.0,8.654987,9,0,0,offseason,weather
2019-09-12,20.7525,11.0525,0.0,0.0,6.1305785,9,0,0,offseason,weather
2019-09-13,22.552502,11.9025,0.0,0.0,12.475961,9,0,0,offseason,weather
2019-09-14,21.0025,11.4025,0.0,0.0,12.031756,9,0,0,offseason,weather
2019-09-15,20.202501,9.2025,0.0,0.0,13.450708,9,0,0,offseason,weather
2019-09-16,14.3025,7.3525,0.07,0.2,9.904906,9,0,1,offseason,weather
2019-09-17,17.5525,6.4525,0.0,0.0,6.696387,9,0,0,offseason,weather
2019-09-18,19.4025,5.2525,0.0,0.0,7.968939,9,1,0,offseason,weather
2019-09-19,18.9025,6.1025,0.0,0.0,9.107359,9,0,0,offseason,weather
2019-09-20,14.5025,8.5525,0.0,1.0,6.151683,9,0,0,offseason,weather
2019-09-21,18.1025,3.6525002,0.0,1.7,7.42159,9,0,0,offseason,weather
2019-09-22,19.452501,6.4525,0.0,0.0,7.2,9,0,0,offseason,weather
2019-09-23,20.952501,7.2525,0.0,0.0,7.5942082,9,0,0,offseason,weather
2019-09-24,21.8525,7.8025,0.0,0.0,8.0899935,9,0,0,offseason,weather
2019-09-25,21.202501,8.4025,0.0,0.0,10.464797,9,0,1,offseason,weather
2019-09-26,19.552502,11.3525,0.0,0.0,6.9899354,9,0,0,offseason,weather
2019-09-27,19.452501,6.9525,0.0,0.0,10.931203,9,0,0,offseason,weather
2019-09-28,15.1025,6.1525,0.0,2.1,5.6233797,9,0,0,offseason,weather
2019-09-29,15.3525,6.8025,0.0,0.6,7.628263,9,0,0,offseason,weather
2019-09-30,11.7025,5.6525,0.98,2.4999998,5.634891,9,0,0,offseason,weather
2019-10-01,11.6025,5.3025002,0.0,0.0,5.4477882,10,0,0,weather,offseason
2019-10-02,12.9525,5.8525,0.0,0.3,5.0528407,10,0,0,weather,offseason
2019-10-03,11.3025,5.4525,1.33,2.3000002,5.634891,10,0,0,weather,offseason
2019-10-04,9.1025,3.4525,1.05,1.5000001,6.830519,10,0,0,weather,offseason
2019-10-05,11.0025,4.9525,0.0,0.1,6.9247384,10,0,0,weather,offseason
2019-10-06,9.3025,3.6525002,1.4000001,2.3999999,6.12,10,0,0,weather,offseason
2019-10-07,8.4025,1.1025001,0.35,0.5,4.73506,10,0,0,weather,offseason
2019-10-08,6.4525,1.2525,0.0,0.0,6.489992,10,0,0,weather,offseason
2019-10-09,8.4025,1.4525001,0.0,0.0,4.8433046,10,0,0,weather,offseason
2019-10-10,10.1525,1.9525001,0.0,0.0,4.829907,10,0,0,weather,offseason
2019-10-11,9.8025,3.2525,0.0,0.0,6.28713,10,0,0,weather,offseason
2019-10-12,10.6025,2.5025,0.0,0.0,6.3690495,10,0,0,weather,offseason
2019-10-13,11.7025,2.8525,0.0,0.0,6.151683,10,0,0,weather,offseason
2019-10-14,11.8525,2.9025002,0.0,0.0,7.145796,10,0,0,weather,offseason
2019-10-15,12.7525,4.2025,0.0,0.0,7.628263,10,0,0,weather,offseason
2019-10-16,11.4025,4.6025,0.0,0.0,5.771239,10,0,0,weather,offseason
2019-10-17,7.2025,1.9525001,0.56,0.8000001,7.42159,10,0,0,weather,offseason
2019-10-18,6.3025,1.5025,1.05,1.5,5.3999996,10,0,0,weather,offseason
2019-10-19,4.4025,-1.3475,2.1699998,3.1,6.4096174,10,0,0,weather,offseason
2019-10-20,5.1525,-0.14749992,0.0,0.0,4.829907,10,0,0,weather,offseason
2019-10-21,7.1525,-1.7474998,0.0,0.0,6.924738,10,0,0,weather,offseason
2019-10-22,5.3025002,-0.59749997,0.0,0.0,6.4096174,10,0,0,weather,offseason
2019-10-23,4.8025002,-1.1974999,0.14,0.2,3.6179552,10,0,0,weather,offseason
2019-10-24,3.9524999,-1.9474999,0.0,0.0,4.198285,10,0,0,weather,offseason
2019-10-25,3.3525,-3.3975,0.42,0.6,5.0911684,10,0,0,weather,offseason
2019-10-26,6.2525,-1.0975,0.0,0.0,4.68,10,0,0,weather,offseason
2019-10-27,8.0525,0.7025001,0.0,0.0,4.1046314,10,0,0,weather,offseason
2019-10-28,8.1025,0.8525001,0.0,0.0,4.5820518,10,0,0,weather,offseason
2019-10-29,7.1525,0.4525001,0.0,0.0,4.8433046,10,0,0,weather,offseason
2019-10-30,4.2025,-0.5475,1.05,1.5000002,6.519877,10,0,0,weather,offseason
2019-10-31,7.6025,-1.7975,0.0,0.0,5.8603754,10,0,0,weather,offseason
2019-11-01,5.8025002,1.0025,0.98,1.4000001,4.5820518,11,1,0,weather,offseason
2019-11-02,5.2025,-0.49749982,2.3100002,3.3,4.8433046,11,0,0,weather,offseason
